"GEOID","Geographic Area Name","Population below poverty level - Total","Population below poverty level - White alone","Population below poverty level - Black or African American alone","Population below poverty level - American Indian and Alaska Native alone","Population below poverty level - Asian alone","Population below poverty level - Native Hawaiian and Other Pacific Islander alone","Population below poverty level - Some other race alone"
"36001000100","Census Tract 1, Albany County, New York","502","54","430","0","0","0","0"
"36001000200","Census Tract 2, Albany County, New York","1641","75","1395","0","36","0","0"
"36001000300","Census Tract 3, Albany County, New York","1359","57","473","0","111","0","64"
"36001000401","Census Tract 4.01, Albany County, New York","168","110","44","14","0","0","0"
"36001000403","Census Tract 4.03, Albany County, New York","456","187","155","0","80","0","17"
"36001000404","Census Tract 4.04, Albany County, New York","15","15","0","0","0","0","0"
"36001000501","Census Tract 5.01, Albany County, New York","1207","594","327","38","6","0","66"
"36001000502","Census Tract 5.02, Albany County, New York","439","173","134","0","121","0","11"
"36001000600","Census Tract 6, Albany County, New York","1967","740","421","0","192","0","142"
"36001000700","Census Tract 7, Albany County, New York","1360","210","875","0","0","0","21"
"36001000800","Census Tract 8, Albany County, New York","857","100","659","0","0","0","14"
"36001001100","Census Tract 11, Albany County, New York","664","296","280","0","22","0","17"
"36001001400","Census Tract 14, Albany County, New York","492","247","245","0","0","0","0"
"36001001500","Census Tract 15, Albany County, New York","1402","1168","68","0","59","0","37"
"36001001600","Census Tract 16, Albany County, New York","1028","842","42","0","98","0","22"
"36001001700","Census Tract 17, Albany County, New York","539","238","136","0","16","0","127"
"36001001801","Census Tract 18.01, Albany County, New York","322","301","21","0","0","0","0"
"36001001802","Census Tract 18.02, Albany County, New York","452","309","65","0","54","0","0"
"36001001901","Census Tract 19.01, Albany County, New York","206","191","3","0","0","0","12"
"36001001902","Census Tract 19.02, Albany County, New York","62","13","49","0","0","0","0"
"36001002000","Census Tract 20, Albany County, New York","1270","538","698","0","0","0","0"
"36001002100","Census Tract 21, Albany County, New York","632","215","68","0","109","0","227"
"36001002200","Census Tract 22, Albany County, New York","482","136","259","1","0","0","30"
"36001002300","Census Tract 23, Albany County, New York","577","79","416","0","79","0","0"
"36001002500","Census Tract 25, Albany County, New York","1331","175","858","10","0","0","52"
"36001002600","Census Tract 26, Albany County, New York","807","136","629","0","0","0","25"
"36001012700","Census Tract 127, Albany County, New York","565","278","189","0","0","0","0"
"36001012800","Census Tract 128, Albany County, New York","940","434","22","4","0","0","0"
"36001012900","Census Tract 129, Albany County, New York","744","692","20","19","6","0","7"
"36001013000","Census Tract 130, Albany County, New York","238","222","16","0","0","0","0"
"36001013100","Census Tract 131, Albany County, New York","199","178","14","0","0","0","0"
"36001013200","Census Tract 132, Albany County, New York","948","718","53","0","9","0","0"
"36001013300","Census Tract 133, Albany County, New York","683","441","108","0","0","0","102"
"36001013400","Census Tract 134, Albany County, New York","240","210","22","0","0","0","0"
"36001013503","Census Tract 135.03, Albany County, New York","254","203","14","0","29","0","0"
"36001013505","Census Tract 135.05, Albany County, New York","188","188","0","0","0","0","0"
"36001013506","Census Tract 135.06, Albany County, New York","342","296","3","0","0","43","0"
"36001013507","Census Tract 135.07, Albany County, New York","135","43","22","0","0","0","0"
"36001013508","Census Tract 135.08, Albany County, New York","80","80","0","0","0","0","0"
"36001013601","Census Tract 136.01, Albany County, New York","372","233","0","0","102","0","0"
